Z2HqPGz04Vk,subtitles_not_available
QAuDEFSbdJY,subtitles_not_available
gvN6czd-wYY,index 0 is out of bounds for axis 0 with size 0
CLtXwBfijXU,subtitles_not_available
0vYjp_htJKc,subtitles_not_available
uQQ00FXxdVg,subtitles_not_available
t8mC8YUVWiE,subtitles_not_available
HvSaBVSAkz4,subtitles_not_available
QLNRbUsVHAM,subtitles_not_available
Ik14FkbZ6l4,subtitles_not_available
yjibax20ljc,subtitles_not_available
OU9_sQZtCi8,too_little_speech
1YftmrcOTXo,subtitles_not_available
uCVLFYboblE,too_little_speech
mu33pSXCwkw,too_little_speech
N73_1dz-HKg,too_little_speech
8-3Xe7RMg3w,subtitles_not_available
G_xzeVijC88,too_little_speech
DCD1XzNiVQU,subtitles_not_available
sr2zdBochlU,subtitles_not_available
n1sjt7ryOOU,subtitles_not_available
i_P4kjCTtRk,subtitles_not_available
EEsdJZKYYQY,subtitles_not_available
xer0AutFC6k,too_little_speech
a2ym8xMq-Sc,subtitles_not_available
1b1VM2jPz_U,too_little_speech
Ahif51hqeA8,subtitles_not_available
VtPEnsNk5jk,too_little_speech
h6vq6jyN09U,too_little_speech
MScPcewRdUM,index 0 is out of bounds for axis 0 with size 0
0Z9R57maGvc,subtitles_not_available
hYD9Q-XC61M,too_little_speech
AsXm1F6EBBg,too_little_speech
2k5tIYT-f_g,too_little_speech
